"","CharacteristicName","ResultMeasure.MeasureUnitCode","DetectionQuantitationLimitMeasure.MeasureUnitCode","source_labmethodid","source_labmethodname","USGSPCode","OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityStartDate","ActivityStartTime.Time","ActivityEndDate","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","source_samplesiteid","ActivityCommentText","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","ResultSampleFractionText","datavalue","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","source_labmethoddescription","ResultLaboratoryCommentText","source_qualifier","DetectionQuantitationLimitMeasure.MeasureValue","ProviderName","ActivityStartDateTime","ActivityEndDateTime","Obs_Id","State","Id_num","wqp_monitoringlocationname","wqp_providername","lagoslakeid","source_parameter","source_value","source_unit","detectionlimit_legacy","detectionlimit_unit_legacy","Conversion","Conversion_dl","Notes","sampledate","source_sampledepth","variableid_lagos","limit_low","limit_high","variableshortname","source_sampleposition","lagos_sampledepth","lagos_sampleposition"
"24","Turbidity","NTU",NA,"11NPSWRD_WQX NPS_Unspecified","Unknown or Unspecified Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_076_19831019_116661","Sample-Routine","1983-10-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_076",NA,"NPS_LEGACY","11NPSWRD","LEGACY","Miscellaneous (Other)",NA,NA,0.42,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 82079][Description: TURBIDITY,LAB NEPHELOMETRIC TURBIDITY UNITS, NTU][Value: 0.42",NA,NA,NA,"NPS_Unspecified","11NPSWRD_WQX",NA,NA,NA,"0.42","STORET",NA,NA,"CA-352955","CA","352955","GUITAR LAKE OUTLET SURFACE SUBSURFACE","STORET","477383","Turbidity",".42","NTU",NA,NA,"1","1","methods_WQX",1983-10-19,NA,36,0,20000,"turb_ntu","UNKNOWN",NA,"UNKNOWN"
"25","Conductivity","uS/cm",NA,"11NPSWRD_WQX NPS_Unspecified","Unknown or Unspecified Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_064_19840619_117014","Field Msr/Obs","1984-06-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_064",NA,NA,NA,NA,NA,NA,NA,5,NA,"Final",NA,"Actual",NA,NA,"25 Deg C",NA,NA,"Old STORET Parameter Code: 00094][Description: SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)][Value: 5",NA,NA,NA,"NPS_Unspecified","11NPSWRD_WQX",NA,NA,NA,"5","STORET",NA,NA,"CA-350063","CA","350063","ARCTIC LAKE OUTLET SURFACE AND SUBSURFACE","STORET","478104","Specific conductance","5","umho/cm",NA,NA,"1","1","methods_WQX",1984-06-19,NA,13,0,1000000,"spcond_uscm","UNKNOWN",NA,"UNKNOWN"
"26","Alkalinity","ueq/l",NA,"11NPSWRD_WQX NPS_LEGACY","Unspecified Standard Grab Sample Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_076_19840619_116672","Sample-Routine","1984-06-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_076",NA,"NPS_LEGACY","11NPSWRD","LEGACY","Miscellaneous (Other)",NA,"Total",3.72,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 00410][Description: ALKALINITY, TOTAL (MG/L AS CACO3)][Value: 3.72",NA,NA,NA,"NPS_LEGACY","11NPSWRD_WQX",NA,NA,NA,"3.72","STORET",NA,NA,"CA-338177","CA","338177","GUITAR LAKE OUTLET SURFACE SUBSURFACE","STORET","477383","Alkalinity, total","3.72","mg/l",NA,NA,"1","1","methods_WQX",1984-06-19,NA,1,-10,10000,"alk_caco3_mgl","UNKNOWN",NA,"UNKNOWN"
"27","Conductivity","uS/cm",NA,"11NPSWRD_WQX NPS_Unspecified","Unknown or Unspecified Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_076_19840619_116671","Field Msr/Obs","1984-06-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_076",NA,NA,NA,NA,NA,NA,NA,10,NA,"Final",NA,"Actual",NA,NA,"25 Deg C",NA,NA,"Old STORET Parameter Code: 00094][Description: SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)][Value: 10",NA,NA,NA,"NPS_Unspecified","11NPSWRD_WQX",NA,NA,NA,"10","STORET",NA,NA,"CA-354688","CA","354688","GUITAR LAKE OUTLET SURFACE SUBSURFACE","STORET","477383","Specific conductance","10","umho/cm",NA,NA,"1","1","methods_WQX",1984-06-19,NA,13,0,1000000,"spcond_uscm","UNKNOWN",NA,"UNKNOWN"
"28","Conductivity","uS/cm",NA,"11NPSWRD_WQX NPS_Unspecified","Unknown or Unspecified Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_051_19840625_114553","Field Msr/Obs","1984-06-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_051",NA,NA,NA,NA,NA,NA,NA,6,NA,"Final",NA,"Actual",NA,NA,"25 Deg C",NA,NA,"Old STORET Parameter Code: 00094][Description: SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)][Value: 6",NA,NA,NA,"NPS_Unspecified","11NPSWRD_WQX",NA,NA,NA,"6","STORET",NA,NA,"CA-351199","CA","351199","FORRESTER LAKE OUTLET SURFACE AND SUBSURFACE","STORET","476804","Specific conductance","6","umho/cm",NA,NA,"1","1","methods_WQX",1984-06-25,NA,13,0,1000000,"spcond_uscm","UNKNOWN",NA,"UNKNOWN"
"29","Alkalinity","ueq/l",NA,"11NPSWRD_WQX NPS_LEGACY","Unspecified Standard Grab Sample Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_051_19840626_114558","Sample-Routine","1984-06-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_051",NA,"NPS_LEGACY","11NPSWRD","LEGACY","Miscellaneous (Other)",NA,"Total",1.38,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 00410][Description: ALKALINITY, TOTAL (MG/L AS CACO3)][Value: 1.38",NA,NA,NA,"NPS_LEGACY","11NPSWRD_WQX",NA,NA,NA,"1.38","STORET",NA,NA,"CA-337834","CA","337834","FORRESTER LAKE OUTLET SURFACE AND SUBSURFACE","STORET","476804","Alkalinity, total","1.38","mg/l",NA,NA,"1","1","methods_WQX",1984-06-26,NA,1,-10,10000,"alk_caco3_mgl","UNKNOWN",NA,"UNKNOWN"
"30","Conductivity","uS/cm",NA,"11NPSWRD_WQX NPS_Unspecified","Unknown or Unspecified Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_051_19840626_114557","Field Msr/Obs","1984-06-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_051",NA,NA,NA,NA,NA,NA,NA,9,NA,"Final",NA,"Actual",NA,NA,"25 Deg C",NA,NA,"Old STORET Parameter Code: 00094][Description: SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)][Value: 9",NA,NA,NA,"NPS_Unspecified","11NPSWRD_WQX",NA,NA,NA,"9","STORET",NA,NA,"CA-357682","CA","357682","FORRESTER LAKE OUTLET SURFACE AND SUBSURFACE","STORET","476804","Specific conductance","9","umho/cm",NA,NA,"1","1","methods_WQX",1984-06-26,NA,13,0,1000000,"spcond_uscm","UNKNOWN",NA,"UNKNOWN"
"31","Conductivity","uS/cm",NA,"11NPSWRD_WQX NPS_Unspecified","Unknown or Unspecified Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_051_19840819_114572","Field Msr/Obs","1984-08-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_051",NA,NA,NA,NA,NA,NA,NA,1.1,NA,"Final",NA,"Actual",NA,NA,"25 Deg C",NA,NA,"Old STORET Parameter Code: 00094][Description: SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)][Value: 1.1",NA,NA,NA,"NPS_Unspecified","11NPSWRD_WQX",NA,NA,NA,"1.1","STORET",NA,NA,"CA-355239","CA","355239","FORRESTER LAKE OUTLET SURFACE AND SUBSURFACE","STORET","476804","Specific conductance","1.1","umho/cm",NA,NA,"1","1","methods_WQX",1984-08-19,NA,13,0,1000000,"spcond_uscm","UNKNOWN",NA,"UNKNOWN"
"32","pH, field or lab","pH",NA,"11NPSWRD_WQX NPS_Unspecified","Unknown or Unspecified Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_051_19840820_114575","Sample-Routine","1984-08-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_051",NA,"NPS_LEGACY","11NPSWRD","LEGACY","Miscellaneous (Other)",NA,NA,6.35,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 00403][Description: PH, LAB, STANDARD UNITS SU][Value: 6.35",NA,NA,NA,"NPS_Unspecified","11NPSWRD_WQX",NA,NA,NA,"6.35","STORET",NA,NA,"CA-331940","CA","331940","FORRESTER LAKE OUTLET SURFACE AND SUBSURFACE","STORET","476804","pH","6.35","None",NA,NA,"1","1","methods_WQX",1984-08-20,NA,25,0,15,"ph","UNKNOWN",NA,"UNKNOWN"
"33","pH, field or lab","pH",NA,"11NPSWRD_WQX NPS_Unspecified","Unknown or Unspecified Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_064_19840903_117029","Sample-Routine","1984-09-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_064",NA,"NPS_LEGACY","11NPSWRD","LEGACY","Miscellaneous (Other)",NA,NA,6.61,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 00403][Description: PH, LAB, STANDARD UNITS SU][Value: 6.61",NA,NA,NA,"NPS_Unspecified","11NPSWRD_WQX",NA,NA,NA,"6.61","STORET",NA,NA,"CA-334711","CA","334711","ARCTIC LAKE OUTLET SURFACE AND SUBSURFACE","STORET","478104","pH","6.61","None",NA,NA,"1","1","methods_WQX",1984-09-03,NA,25,0,15,"ph","UNKNOWN",NA,"UNKNOWN"
"34","pH, field or lab","pH",NA,"11NPSWRD_WQX NPS_Unspecified","Unknown or Unspecified Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_076_19840903_116689","Field Msr/Obs","1984-09-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_076",NA,NA,NA,NA,NA,NA,NA,6.93,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 00406][Description: PH, FIELD, STANDARD UNITS   SU][Value: 6.93",NA,NA,NA,"NPS_Unspecified","11NPSWRD_WQX",NA,NA,NA,"6.93","STORET",NA,NA,"CA-352374","CA","352374","GUITAR LAKE OUTLET SURFACE SUBSURFACE","STORET","477383","pH","6.93","None",NA,NA,"1","1","methods_WQX",1984-09-03,NA,25,0,15,"ph","UNKNOWN",NA,"UNKNOWN"
"35","Conductivity","uS/cm",NA,"11NPSWRD_WQX NPS_Unspecified","Unknown or Unspecified Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_076_19841016_116693","Field Msr/Obs","1984-10-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_076",NA,NA,NA,NA,NA,NA,NA,9,NA,"Final",NA,"Actual",NA,NA,"25 Deg C",NA,NA,"Old STORET Parameter Code: 00094][Description: SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)][Value: 9",NA,NA,NA,"NPS_Unspecified","11NPSWRD_WQX",NA,NA,NA,"9","STORET",NA,NA,"CA-337709","CA","337709","GUITAR LAKE OUTLET SURFACE SUBSURFACE","STORET","477383","Specific conductance","9","umho/cm",NA,NA,"1","1","methods_WQX",1984-10-16,NA,13,0,1000000,"spcond_uscm","UNKNOWN",NA,"UNKNOWN"
"36","Turbidity","NTU",NA,"11NPSWRD_WQX NPS_Unspecified","Unknown or Unspecified Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_076_19841016_116693","Field Msr/Obs","1984-10-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_076",NA,NA,NA,NA,NA,NA,NA,0.82,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 82078][Description: TURBIDITY,FIELD NEPHELOMETRIC TURBIDITY UNITS,NTU][Value: 0.82",NA,NA,NA,"NPS_Unspecified","11NPSWRD_WQX",NA,NA,NA,"0.82","STORET",NA,NA,"CA-361303","CA","361303","GUITAR LAKE OUTLET SURFACE SUBSURFACE","STORET","477383","Turbidity",".82","NTU",NA,NA,"1","1","methods_WQX",1984-10-16,NA,36,0,20000,"turb_ntu","UNKNOWN",NA,"UNKNOWN"
"37","Alkalinity","ueq/l",NA,"11NPSWRD_WQX NPS_LEGACY","Unspecified Standard Grab Sample Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_051_19841023_114579","Sample-Routine","1984-10-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_051",NA,"NPS_LEGACY","11NPSWRD","LEGACY","Miscellaneous (Other)",NA,"Total",1.52,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 00410][Description: ALKALINITY, TOTAL (MG/L AS CACO3)][Value: 1.52",NA,NA,NA,"NPS_LEGACY","11NPSWRD_WQX",NA,NA,NA,"1.52","STORET",NA,NA,"CA-363930","CA","363930","FORRESTER LAKE OUTLET SURFACE AND SUBSURFACE","STORET","476804","Alkalinity, total","1.52","mg/l",NA,NA,"1","1","methods_WQX",1984-10-23,NA,1,-10,10000,"alk_caco3_mgl","UNKNOWN",NA,"UNKNOWN"
"38","Conductivity","uS/cm",NA,"11NPSWRD_WQX NPS_Unspecified","Unknown or Unspecified Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_051_19841023_114578","Field Msr/Obs","1984-10-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_051",NA,NA,NA,NA,NA,NA,NA,5,NA,"Final",NA,"Actual",NA,NA,"25 Deg C",NA,NA,"Old STORET Parameter Code: 00094][Description: SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)][Value: 5",NA,NA,NA,"NPS_Unspecified","11NPSWRD_WQX",NA,NA,NA,"5","STORET",NA,NA,"CA-357771","CA","357771","FORRESTER LAKE OUTLET SURFACE AND SUBSURFACE","STORET","476804","Specific conductance","5","umho/cm",NA,NA,"1","1","methods_WQX",1984-10-23,NA,13,0,1000000,"spcond_uscm","UNKNOWN",NA,"UNKNOWN"
"39","pH, field or lab","pH",NA,"11NPSWRD_WQX NPS_Unspecified","Unknown or Unspecified Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_051_19841023_114579","Sample-Routine","1984-10-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_051",NA,"NPS_LEGACY","11NPSWRD","LEGACY","Miscellaneous (Other)",NA,NA,6.45,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 00403][Description: PH, LAB, STANDARD UNITS SU][Value: 6.45",NA,NA,NA,"NPS_Unspecified","11NPSWRD_WQX",NA,NA,NA,"6.45","STORET",NA,NA,"CA-338447","CA","338447","FORRESTER LAKE OUTLET SURFACE AND SUBSURFACE","STORET","476804","pH","6.45","None",NA,NA,"1","1","methods_WQX",1984-10-23,NA,25,0,15,"ph","UNKNOWN",NA,"UNKNOWN"
"40","Alkalinity","ueq/l",NA,"11NPSWRD_WQX NPS_LEGACY","Unspecified Standard Grab Sample Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_076_19841023_116698","Sample-Routine","1984-10-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_076",NA,"NPS_LEGACY","11NPSWRD","LEGACY","Miscellaneous (Other)",NA,"Total",1.84,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 00410][Description: ALKALINITY, TOTAL (MG/L AS CACO3)][Value: 1.84",NA,NA,NA,"NPS_LEGACY","11NPSWRD_WQX",NA,NA,NA,"1.84","STORET",NA,NA,"CA-339608","CA","339608","GUITAR LAKE OUTLET SURFACE SUBSURFACE","STORET","477383","Alkalinity, total","1.84","mg/l",NA,NA,"1","1","methods_WQX",1984-10-23,NA,1,-10,10000,"alk_caco3_mgl","UNKNOWN",NA,"UNKNOWN"
"41","Conductivity","uS/cm",NA,"11NPSWRD_WQX NPS_Unspecified","Unknown or Unspecified Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_076_19841023_116697","Field Msr/Obs","1984-10-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_076",NA,NA,NA,NA,NA,NA,NA,8,NA,"Final",NA,"Actual",NA,NA,"25 Deg C",NA,NA,"Old STORET Parameter Code: 00094][Description: SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)][Value: 8",NA,NA,NA,"NPS_Unspecified","11NPSWRD_WQX",NA,NA,NA,"8","STORET",NA,NA,"CA-353538","CA","353538","GUITAR LAKE OUTLET SURFACE SUBSURFACE","STORET","477383","Specific conductance","8","umho/cm",NA,NA,"1","1","methods_WQX",1984-10-23,NA,13,0,1000000,"spcond_uscm","UNKNOWN",NA,"UNKNOWN"
"42","pH, field or lab","pH",NA,"11NPSWRD_WQX NPS_Unspecified","Unknown or Unspecified Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_076_19841023_116698","Sample-Routine","1984-10-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_076",NA,"NPS_LEGACY","11NPSWRD","LEGACY","Miscellaneous (Other)",NA,NA,5.93,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 00403][Description: PH, LAB, STANDARD UNITS SU][Value: 5.93",NA,NA,NA,"NPS_Unspecified","11NPSWRD_WQX",NA,NA,NA,"5.93","STORET",NA,NA,"CA-336939","CA","336939","GUITAR LAKE OUTLET SURFACE SUBSURFACE","STORET","477383","pH","5.93","None",NA,NA,"1","1","methods_WQX",1984-10-23,NA,25,0,15,"ph","UNKNOWN",NA,"UNKNOWN"
"43","Alkalinity","ueq/l",NA,"USEPA 310.1","Alkalinity by Titration",NA,"SDDENR_WQX","DENR","SDDENR_WQX-62762W","Sample-Routine","1984-12-19","11:30:00",NA,NA,NA,NA,NA,NA,NA,NA,"BHLKHIST",NA,"SDDENR_WQX-LEGIONL1LL","S depth is 1 m frm surface to mid 16 kemmerer.""","REGRAVAN","SDDENR_WQX","Grab water sample taken from a reservoir by using a Van Dorn bottle","Van Dorn Bottle",NA,NA,66,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"S depth is 1 m frm surface to mid 16 kemmerer.""",NA,NA,NA,"310.1","USEPA","https://www.nemi.gov/methods/method_summary/5230/",NA,NA,"66","STORET","1984-12-19 18:30:00",NA,"SD-691399","SD","691399","LEGIONL1LL","STORET","337060","Alkalinity, total","66","mg/l",NA,NA,"1","1","EPA 310.1; Reported as alkalinity",1984-12-19,NA,1,-10,10000,"alk_caco3_mgl","UNKNOWN",NA,"UNKNOWN"
"44","Phosphorus, soluble reactive orthophosphate","ug/l",NA,"USEPA 365.1","Phosphorus by Colorimetry",NA,"SDDENR_WQX","DENR","SDDENR_WQX-62762W","Sample-Routine","1984-12-19","11:30:00",NA,NA,NA,NA,NA,NA,NA,NA,"BHLKHIST",NA,"SDDENR_WQX-LEGIONL1LL","S depth is 1 m frm surface to mid 16 kemmerer.""","REGRAVAN","SDDENR_WQX","Grab water sample taken from a reservoir by using a Van Dorn bottle","Van Dorn Bottle",NA,"Dissolved",12,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"S depth is 1 m frm surface to mid 16 kemmerer.""",NA,NA,NA,"365.1","USEPA","https://www.nemi.gov/methods/method_summary/4823/",NA,NA,"12","STORET","1984-12-19 18:30:00",NA,"SD-698252","SD","698252","LEGIONL1LL","STORET","337060","Orthophosphate","0.012","mg/l",NA,NA,"1000","1000","EPA 365.1",1984-12-19,NA,26,-1000,100000,"srp_p_ugl","UNKNOWN",NA,"UNKNOWN"
"45","Phosphorus, total","ug/l",NA,"USEPA 365.2","Phosphorus by Single Reagent Colorimetry",NA,"SDDENR_WQX","DENR","SDDENR_WQX-62762W","Sample-Routine","1984-12-19","11:30:00",NA,NA,NA,NA,NA,NA,NA,NA,"BHLKHIST",NA,"SDDENR_WQX-LEGIONL1LL","S depth is 1 m frm surface to mid 16 kemmerer.""","REGRAVAN","SDDENR_WQX","Grab water sample taken from a reservoir by using a Van Dorn bottle","Van Dorn Bottle",NA,"Total",70,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"S depth is 1 m frm surface to mid 16 kemmerer.""",NA,NA,NA,"365.2","USEPA","https://www.nemi.gov/methods/method_summary/5254/",NA,NA,"70","STORET","1984-12-19 18:30:00",NA,"SD-668748","SD","668748","LEGIONL1LL","STORET","337060","Phosphate-phosphorus","0.07","mg/l",NA,NA,"1000","1000","EPA 365.2",1984-12-19,NA,27,-1000,100000,"tp_ugl","UNKNOWN",NA,"UNKNOWN"
"46","Phosphorus, soluble reactive orthophosphate","ug/l","ug/l","USEPA 365.1","Phosphorus by Colorimetry",NA,"SDDENR_WQX","DENR","SDDENR_WQX-62907W","Sample-Routine","1985-08-07","09:15:00",NA,NA,NA,NA,NA,NA,NA,NA,"BHLKHIST",NA,"SDDENR_WQX-LEGIONL1LL","Algae &/or pollen film on calm surface areas-sunny","REGRAVAN","SDDENR_WQX","Grab water sample taken from a reservoir by using a Van Dorn bottle","Van Dorn Bottle",NA,"Dissolved",13,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Algae &/or pollen film on calm surface areas-sunny",NA,NA,NA,"365.1","USEPA","https://www.nemi.gov/methods/method_summary/4823/",NA,"Lower Quantitation Limit","13","STORET","1985-08-07 16:15:00",NA,"SD-726696","SD","726696","LEGIONL1LL","STORET","337060","Orthophosphate","0.013","mg/l","0.002","mg/l","1000","1000","EPA 365.1",1985-08-07,NA,26,-1000,100000,"srp_p_ugl","UNKNOWN",NA,"UNKNOWN"
"47","Phosphorus, total","ug/l",NA,"MONT_DEQ_WQX HISTORIC-MONT-DEQ","Historic Procedure",NA,"MONT_DEQ_WQX","MONT_DEQ_WQX - Montana DEQ - Pre-1999 Data","MONT_DEQ_WQX-C9509105692A","Sample-Routine","1995-08-23","13:00:00",NA,NA,NA,NA,NA,NA,NA,NA,"22","MONT-DEQ","MONT_DEQ_WQX-4718LI02","STOREASE Sample ID: LINDBERG LAKE-MIDDLE SURF","HISTORIC","MDEQ-WQ","Unknown, Historic Data, Migrated from STOREASE","Miscellaneous (Other)",NA,"Total",2,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Legacy Parameter Code: 00665. STOREASE Parameter Description: Phosphorus (P), Wtr, Total, as mg/l. Legacy STORET Parameter Description: PHOSPHORUS, TOTAL (MG/L AS P).",NA,NA,NA,"HISTORIC-MONT-DEQ","MONT_DEQ_WQX",NA,NA,NA,"2","STORET","1995-08-23 19:00:00",NA,"MT-38179","MT","38179","LINDBERGH LAKE","STORET","458326","Phosphate-phosphorus",".002","mg/l",NA,NA,"1000","1000","methods_WQX",1995-08-23,NA,27,-1000,100000,"tp_ugl","UNKNOWN",NA,"UNKNOWN"
"48","Selenium, total","ug/l",NA,"USEPA 200.8(W)","200.8 W  ~ Metals in Waters by ICP/MS",NA,"SDDENR_WQX","DENR","SDDENR_WQX-58970W","Sample-Routine","1999-07-27","03:15:00",NA,NA,NA,NA,NA,NA,NA,NA,"FREEMAN1",NA,"SDDENR_WQX-FREEMANL0C","CATTAILS HOMOGENIZED ABOVE THE SURFACE AND ALSO THE ROOT.","REGRAVAN","SDDENR_WQX","Grab water sample taken from a reservoir by using a Van Dorn bottle","Van Dorn Bottle",NA,"Total",3.5,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"CATTAILS HOMOGENIZED ABOVE THE SURFACE AND ALSO THE ROOT.",NA,NA,NA,"200.8(W)","USEPA","https://www.nemi.gov/methods/method_summary/4665/",NA,NA,"3.5","STORET","1999-07-27 10:15:00",NA,"SD-614570","SD","614570","FREEMANL0C","STORET","346238","Selenium","3.5","ug/l",NA,NA,"1","1","EPA 200.8",1999-07-27,NA,44,-1000,30000,"t_se_ugl","UNKNOWN",NA,"UNKNOWN"
